,ave_return,pairs,sharp_ratio,total_return,volatility
139,1.579970583,"('CM', 'BBL')",0.110195215,186.4365288,14.33792368
140,1.549173466,"('BBL', 'TUP')",0.090389482,182.802469,17.13886872
141,-1.006694477,"('TUP', 'BG')",-0.047075765,-119.7966427,21.38455893
142,-0.153660012,"('BG', 'DNKN')",-0.009073369,-18.13188147,16.93527607
143,3.517284143,"('DNKN', 'BRS')",0.090055259,415.0395288,39.05695455
144,1.34199812,"('BRS', 'BPOP')",0.040206192,158.3557782,33.37789694
145,7.586549473,"('BGC', 'RBS')",0.191252123,887.6262883,39.66779219
146,1.056712326,"('RBS', 'PBYI')",0.035016506,124.6920545,30.17754903
147,-5.307161512,"('PBYI', 'NCS')",-0.089341316,-594.4020894,59.40321639
148,-1.025920581,"('NCS', 'BBD')",-0.02939841,-120.032708,34.89714483
149,2.438863689,"('BBD', 'EBS')",0.088918111,287.7859154,27.42819944
150,0.811501597,"('EBS', 'BPL')",0.03622343,97.3801916,22.40267151
151,3.687237843,"('BPL', 'BLUE')",0.117614684,435.0940655,31.3501488
152,-1.14114479,"('BDL', 'STL')",-0.046504385,-132.3727956,24.53843404
153,1.157564624,"('STL', 'FIBK')",0.055322263,138.9077549,20.92402879
154,2.187468352,"('FIBK', 'EWBC')",0.096917634,258.1212655,22.57038546
155,0.602610385,"('EWBC', 'EAT')",0.027475921,72.31324621,21.93230878
156,2.178885435,"('EAT', 'CFR')",0.086384785,257.1084814,25.22302316
157,1.296125491,"('CFR', 'BNS')",0.102559909,152.9428079,12.63774023
158,0.446634851,"('BNS', 'BMS')",0.039262685,53.59618209,11.37555546
159,0.489148859,"('BMS', 'BCPC')",0.032751715,57.71956538,14.93506098
160,0.746349858,"('BCPC', 'BAS')",0.025308639,87.32293335,29.48992465
161,2.365943404,"('BAS', 'WBK')",0.074870005,279.1813217,31.60068441
162,0.010255121,"('WBK', 'SBGI')",0.000681125,1.2101043,15.05614665
163,0.948741784,"('SBGI', 'BRKR')",0.042525586,111.9515305,22.30990526
164,1.668111319,"('BRKR', 'BOKF')",0.090728025,196.8371356,18.38584414
165,0.034715078,"('BOKF', 'BKD')",0.001377716,4.165809345,25.19755369
166,0.443525718,"('BKD', 'BIO')",0.015451413,52.33603468,28.70454088
167,0.813995088,"('BIO', 'WRB')",0.044522437,96.05142039,18.28280615
168,0.793745229,"('WRB', 'VLY')",0.054344112,93.66193699,14.60591033
169,1.268084938,"('VLY', 'VIVO')",0.068165045,147.0978528,18.60315564
170,0.844125102,"('VIVO', 'ONB')",0.037034533,99.60676208,22.79291883
171,0.092634621,"('ONB', 'COKE')",0.005099913,11.11615447,18.16396186
172,2.000847342,"('COKE', 'CBI')",0.067446395,240.101681,29.66574205
173,1.432690542,"('CBI', 'BJRI')",0.038835935,171.922865,36.8908469
174,0.781486999,"('BJRI', 'BCOR')",0.034257613,91.43397889,22.81206827
