,index,Ticker,Price,Volume,Rank
1175,2710,NOC,340.53,459771.0,825.0
1176,2711,JCI,39.13,2672051.0,114.0
1177,2712,CTXS,92.76,1029654.0,388.0
1178,2713,CLX,141.69,696806.0,591.0
1179,2714,WMB,31.39,1346075.0,282.0
1180,2716,CAH,71.79,1415431.0,260.0
1181,2717,NSC,150.16,486541.0,789.0
1182,2719,SYY,62.87,873129.0,468.0
1183,2720,CME,153.48,1195994.0,326.0
1184,2721,CIEN,21.28,970998.0,421.0
1185,2722,CHKP,103.41,1012908.0,396.0
1186,2723,VFC,81.14,1038831.0,386.0
1188,2725,K,68.11,1244763.0,308.0
1189,2726,HRL,34.33,755661.0,545.0
1192,2730,SYK,164.38,433703.0,855.0
1193,2731,RRC,14.25,4372666.0,54.0
1194,2732,CPB,46.55,652598.0,616.0
1195,2734,DG,103.12,864886.0,474.0
1196,2735,SSW,7.12,405915.0,898.0
1198,2738,SINA,117.25,427371.0,864.0
1199,2740,FOXA,36.9,5486648.0,41.0
1201,2742,CCL,71.61,935327.0,441.0
1203,2744,KHC,78.39,1413437.0,262.0
1204,2745,NYT,23.25,780119.0,527.0
1205,2746,EW,126.58,502481.0,767.0
1206,2747,CI,208.35,1008855.0,400.0
1207,2748,CAG,38.0,654046.0,615.0
1208,2749,WB,129.57,1127926.0,354.0
1209,2750,VMC,135.4,1183931.0,331.0
1210,2751,NWSA,17.11,895969.0,459.0
1211,2754,NUE,66.96,916044.0,453.0
1212,2755,CHRW,91.46,948922.0,431.0
1213,2756,RL,114.31,1235017.0,311.0
1214,2757,MCK,168.88,910080.0,457.0
1215,2758,LEN,62.66,1935800.0,178.0
1216,2759,KKR,24.08,1363861.0,275.0
1218,2761,DOV,106.21,649338.0,620.0
1219,2762,CTRP,46.78,2494552.0,127.0
1220,2763,CNX,14.01,925351.0,447.0
1222,2766,NCR,37.51,372858.0,950.0
1223,2768,NFX,31.66,656313.0,612.0
1224,2769,MNK,18.06,1289956.0,292.0
1226,2771,KMX,71.37,447517.0,831.0
1227,2772,HES,50.51,1221132.0,317.0
1228,2773,TJX,80.32,1144284.0,345.0
1230,2775,HUN,34.57,1138648.0,351.0
1231,2776,HSY,110.33,1369178.0,273.0
1232,2777,ETN,83.97,2374229.0,141.0
1233,2780,L,51.65,528051.0,734.0
1234,2781,DHR,101.28,734079.0,562.0
1235,2782,CIM,16.99,474274.0,806.0
1237,2786,CHTR,377.25,791049.0,514.0
1238,2788,WU,20.79,2133388.0,163.0
1239,2790,PXD,182.91,360666.0,977.0
1242,2795,THC,18.88,388834.0,924.0
1243,2797,PH,201.42,971692.0,420.0
1244,2798,CREE,34.51,661268.0,608.0
1246,2800,TSM,45.31,1932206.0,179.0
1247,2801,TIF,106.65,883964.0,466.0
1249,2804,SLM,11.44,3367952.0,79.0
1252,2808,WLL,27.92,2129899.0,164.0
1253,2809,TSCO,76.25,4559528.0,48.0
1255,2813,LNC,82.8,846737.0,486.0
1256,2814,CLR,55.53,1067684.0,376.0
1257,2816,SPWR,7.93,1474952.0,252.0
1258,2817,SCHW,53.34,1590968.0,228.0
1259,2818,FE,32.9,2922130.0,95.0
1260,2819,ETR,78.69,402641.0,904.0
1261,2820,CX,8.29,1807270.0,199.0
1263,2824,XEC,112.2,370707.0,954.0
1264,2825,SANM,26.15,393294.0,918.0
1265,2827,MUR,32.1,1810286.0,198.0
1266,2828,MMC,83.52,1378979.0,269.0
1268,2830,CZR,13.95,4266546.0,58.0
1269,2832,SIX,67.56,387869.0,925.0
1271,2834,PCG,42.43,6751958.0,30.0
1272,2835,MDP,66.14,1468212.0,255.0
1276,2839,DTE,105.64,744960.0,554.0
1277,2840,DF,10.37,552845.0,701.0
1278,2841,CY,17.29,2620521.0,117.0
1280,2843,CONN,33.3,412801.0,888.0
1282,2845,WEN,16.18,1068254.0,375.0
1283,2846,RRD,8.17,351613.0,993.0
1287,2850,COG,26.35,1645800.0,215.0
1288,2851,CMO,8.21,380432.0,937.0
1289,2852,CCI,112.77,1217309.0,319.0
1291,2854,TRP,46.04,358659.0,981.0
1292,2855,TDC,40.5,378029.0,943.0
1293,2856,RDC,14.72,1121754.0,355.0
1295,2859,MFC,21.23,845817.0,487.0
1296,2860,INCY,90.29,461061.0,821.0
1299,2864,RCL,133.55,413283.0,886.0
1306,2872,MAS,44.66,597530.0,658.0
1308,2874,LNG,56.56,764535.0,538.0
1314,2882,CCJ,9.2,681473.0,597.0
1315,2884,TRGP,48.0,773740.0,531.0
1316,2885,PGR,52.9753,1489530.0,248.0
1317,2886,NRZ,17.29,892746.0,461.0
1318,2887,EQT,54.29,1782583.0,201.0
1319,2888,CC,51.62,417776.0,876.0
1321,2892,TRI,43.31,801405.0,506.0
1323,2895,SCG,40.64,1370063.0,271.0
1325,2899,GNTX,23.68,1089575.0,366.0
1327,2901,CRUS,49.57,719410.0,571.0
1331,2907,PPC,27.77,703823.0,586.0
1332,2910,EGN,52.23,527702.0,735.0
1336,2914,CMS,44.75,889377.0,464.0
1341,2924,HK,7.99,1175097.0,333.0
1346,2931,CNP,28.18,2490695.0,128.0
1347,2932,CDE,8.04,1094517.0,362.0
1348,2933,CBG,45.69,705490.0,585.0
1351,2936,ULTA,222.1,371886.0,952.0
1355,2943,MOD,23.35,428277.0,861.0
1356,2944,IVR,16.24,486119.0,790.0
1359,2948,CRC,21.13,655706.0,613.0
1362,2951,COL,138.49,413839.0,885.0
1365,2954,TEL,102.53,558754.0,694.0
1368,2957,PDCO,35.89,409565.0,894.0
1372,2962,HFC,47.96,780126.0,526.0
1373,2964,CLVS,60.5,702331.0,588.0
1374,2965,CHL,52.66,436216.0,850.0
1375,2967,CBOE,134.39,400233.0,906.0
1376,2968,USG,38.66,2769487.0,108.0
1377,2969,TWO,14.75,820016.0,498.0
1382,2974,OLN,37.28,357731.0,984.0
1383,2975,OLED,159.4,906895.0,458.0
1386,2982,FHN,19.86,1723491.0,205.0
1388,2984,ECA,12.38,5837125.0,36.0
1389,2986,DECK,85.71,351012.0,995.0
1390,2988,CNC,107.24,796095.0,512.0
1392,2990,CBM,56.35,805383.0,504.0
1394,2992,TK,8.105,686442.0,595.0
1396,2995,SM,23.35,621173.0,641.0
1397,2996,NUAN,17.81,957241.0,430.0
1399,2998,MTG,14.82,1110195.0,357.0
1401,3001,MAC,64.57,676864.0,599.0
1403,3004,EXAS,49.71,1121135.0,356.0
1405,3009,CRK,9.74,358773.0,980.0
1406,3010,CMC,24.04,359103.0,979.0
1407,3012,CCE,40.16,941889.0,436.0
1408,3013,CARA,14.67,443539.0,839.0
1409,3014,VG,11.19,673914.0,602.0
1414,3021,KSU,113.13,378821.0,940.0
1416,3023,KIM,15.91,2644522.0,116.0
1419,3031,DDR,8.12,1815194.0,196.0
1421,3034,CNO,24.59,1143540.0,346.0
1425,3041,SBAC,174.5,385846.0,928.0
1426,3042,OFC,27.3,493902.0,778.0
1427,3043,NLNK,8.25,528818.0,729.0
1429,3046,NAVI,14.25,999321.0,405.0
1437,3057,CRR,7.96,393607.0,917.0
1438,3058,CMA,95.22,411780.0,890.0
1439,3060,CHS,9.51,697120.0,590.0
1440,3061,CHD,48.85,557241.0,697.0
1441,3062,CDW,74.79,483648.0,793.0
1448,3072,NTRS,105.39,379489.0,939.0
1450,3077,JASO,7.43,1282737.0,295.0
1451,3079,IPG,21.89,826458.0,495.0
1455,3085,DRE,26.41,1567973.0,234.0
1458,3090,CPE,11.35,4495854.0,49.0
1460,3093,CNK,36.8,813201.0,500.0
1463,3098,CAKE,49.19,1040352.0,384.0
1466,3102,SCI,39.97,763128.0,540.0
1468,3104,SC,17.25,1272385.0,300.0
1476,3112,MIK,26.87,538584.0,714.0
1481,3119,FOX,36.49,1196906.0,325.0
1482,3120,DISCA,25.07,2233342.0,153.0
1489,3130,SXT,71.85,480082.0,801.0
1491,3132,SBRA,18.1,742764.0,556.0
1492,3133,RXN,28.11,1054514.0,380.0
1495,3138,OTEX,34.25,2511298.0,126.0
1496,3139,NCLH,60.74,378730.0,941.0
1497,3140,KODK,7.95,1341764.0,283.0
1499,3142,JBL,25.43,914939.0,454.0
1506,3153,DVAX,16.1,418369.0,875.0
1518,3170,CALD,35.95,607187.0,651.0
1523,3176,UMPQ,21.65,578218.0,674.0
1525,3178,SKT,25.18,752413.0,548.0
1530,3183,ORC,7.58,540884.0,711.0
1538,3195,FSIC,7.6,352393.0,992.0
1542,3205,COT,16.66,924035.0,448.0
1548,3212,CCK,58.05,424601.0,868.0
1549,3213,CCC,21.35,359785.0,978.0
1555,3222,TEX,47.02,358313.0,983.0
1557,3225,SMG,90.27,414591.0,883.0
1564,3234,MEOH,62.95,573609.0,680.0
1568,3240,GPOR,10.17,5434431.0,43.0
1574,3255,CDK,71.29,609749.0,648.0
1578,3263,UGI,45.77,503002.0,765.0
1584,3273,REG,62.91,374077.0,948.0
1585,3275,ON,24.74,3327338.0,81.0
1587,3278,MTH,47.45,375514.0,947.0
1588,3279,MDCO,33.13,969717.0,423.0
1597,3293,FNSR,17.96,1222862.0,315.0
1598,3295,DISCK,23.86,1264212.0,306.0
1600,3299,CRZO,20.11,1206761.0,321.0
1601,3300,CRTO,23.81,563097.0,686.0
1604,3304,CORT,23.015,1602666.0,226.0
1605,3305,COMM,38.63,1608072.0,225.0
1608,3310,CAVM,88.78,788942.0,518.0
1614,3318,STOR,24.51,848867.0,484.0
1615,3319,SQM,56.38,550765.0,702.0
1621,3326,ROIC,18.37,561218.0,689.0
1625,3330,ORI,21.49,936475.0,440.0
1627,3332,NATI,49.94,375649.0,946.0
1637,3353,CZZ,11.46,351199.0,994.0
1650,3373,CDNS,44.86,3410479.0,76.0
1655,3381,WATT,18.58,1159806.0,340.0
1656,3384,TKR,52.55,413852.0,884.0
1659,3389,RLGY,27.51,515119.0,748.0
1664,3395,PAH,11.71,1284444.0,294.0
1666,3401,LADR,14.47,641297.0,627.0
1687,3425,CNSL,12.45,370383.0,956.0
1690,3429,CIT,50.69,379515.0,938.0
1697,3442,UCTT,21.69,591104.0,663.0
1716,3473,IMMR,10.38,744647.0,555.0
1721,3479,FNB,14.35,517826.0,744.0
1725,3486,CVE,9.55,1092800.0,363.0
1727,3489,CPRT,44.07,356576.0,985.0
1731,3496,CFG,45.9,3109626.0,88.0
1735,3502,WNC,25.83,469357.0,809.0
1738,3506,VCEL,7.7,745193.0,553.0
1746,3519,SGMS,46.65,492296.0,780.0
1757,3535,LPX,29.61,892550.0,462.0
1764,3544,HMHC,8.4,1776579.0,202.0
1774,3558,DRH,11.76,389762.0,922.0
1777,3563,CPN,15.09,1700156.0,209.0
1778,3564,CNMD,57.78,500213.0,772.0
1784,3571,CGNX,62.37,783524.0,522.0
1785,3573,CBAY,11.92,492046.0,781.0
1787,3575,WRK,66.63,645396.0,622.0
1795,3586,SRC,8.17,2391451.0,135.0
1802,3605,KT,14.95,463035.0,819.0
1811,3618,EPC,56.46,463526.0,818.0
1820,3636,CLS,10.1,383179.0,931.0
1832,3662,SABR,20.77,2715883.0,110.0
1841,3681,LJPC,34.26,370175.0,958.0
1843,3684,KEM,20.36,2586710.0,119.0
1850,3698,CUZ,9.0,871588.0,469.0
1880,3753,FDC,17.7,2888225.0,99.0
1882,3763,CUBE,27.53,1469328.0,254.0
1883,3764,CTRL,27.11,349708.0,996.0
1888,3772,CNHI,14.7,1621379.0,219.0
1901,3803,TRCO,42.59,431985.0,856.0
1924,3844,ETM,11.05,1924585.0,181.0
1932,3858,CSRA,33.28,354501.0,988.0
1935,3862,CONE,57.69,360814.0,976.0
1947,3885,SEIC,75.15,703351.0,587.0
1951,3909,GPK,16.15,480840.0,798.0
1967,3935,CMCM,16.57,617710.0,643.0
1973,3948,VUZI,9.1,488463.0,787.0
1995,4007,COTY,19.61,2610640.0,118.0
2006,4036,NVTR,8.12,468176.0,811.0
2016,4053,HZN,8.45,368387.0,964.0
2035,4092,CAA,56.13,404249.0,902.0
2039,4098,TMHC,25.43,380755.0,936.0
2055,4143,HD,200.9,999293.0,406.0
2056,4145,DLTR,115.0,667889.0,606.0
2057,4146,D,76.44,1071939.0,370.0
2058,4147,DPS,119.35,2420095.0,133.0
2059,4148,DRI,95.85,721171.0,569.0
2060,4149,XRAY,60.81,554602.0,699.0
2061,4152,DHI,49.05,2270076.0,150.0
2062,4153,DGX,105.82,731750.0,563.0
2063,4154,DFS,79.8,742720.0,557.0
2064,4156,DLR,111.95,694102.0,593.0
2069,4164,DSW,20.03,796905.0,509.0
2070,4165,DO,17.68,560415.0,692.0
2071,4166,DBD,18.45,422391.0,871.0
2073,4171,DKS,31.46,508883.0,757.0
2075,4174,DATA,76.81,444380.0,837.0
2077,4176,DVA,78.04,674826.0,601.0
2080,4185,DST,83.37,438654.0,847.0
2083,4189,IDTI,29.9,790752.0,515.0
2087,4195,KTOS,11.41,774273.0,530.0
2088,4197,FANG,125.5,483957.0,792.0
2089,4198,DYN,12.52,591204.0,662.0
2092,4202,DOC,16.3,860267.0,477.0
2093,4203,DEPO,7.35,376109.0,945.0
2095,4207,STLD,45.4,1023042.0,394.0
2098,4211,DAR,18.54,990328.0,410.0
2106,4221,LPG,7.64,412505.0,889.0
